ID,Name,Screen Size (inches),Memory,SSD,GPU,Brand,Operating System,CPU,Color,Resolution,Series,FullName,,,,,
13,HP Envy Laptop,16,64,1024,NVIDIA GeForce RTX 4060,HP,Windows11Home,Intel Core i9 13th Gen,Natural Silver,2560x1600,,"HP Envy Laptop, 16"" WQXGA IPS Touchscreen Computer, Intel Core i9-13900H, NVIDIA GeForce RTX 4060, 64GB DDR5 RAM, 1TB SSD, Wi-Fi 6E, Thunderbolt 4, Bluetooth, Backlit Keyboard, Windows 11 Home",,,,,
14,"Acer Swift 3 Intel Evo Thin & Light Laptop | 14"" QHD 100% sRGB | Intel Core i7-1260P | Intel Iris Xe Graphics | 16GB LPDDR4X | 1TB SSD | Killer Wi-Fi 6E AX1675 | Windows 11 Home | SF314-512-73YZ",14,,,,,,,,,,"Acer Swift 3 Intel Evo Thin & Light Laptop | 14"" QHD 100% sRGB | Intel Core i7-1260P | Intel Iris Xe Graphics | 16GB LPDDR4X | 1TB SSD | Killer Wi-Fi 6E AX1675 | Windows 11 Home | SF314-512-73YZ",,,,,
15,"MSI Modern 14 14"" Ultra Thin and Light Professional Laptop Intel® Core™ i5-1155G7 Iris Xe 16GB 512GB NVMe SSD Win 11 Home",14,16,512,Intel Iris Xe Graphics,MSI,Windows11Home,Intel Core i5 11th Gen,Classic Black,1920x1080,,"MSI Modern 14 14"" Ultra Thin and Light Professional Laptop Intel® Core™ i5-1155G7 Iris Xe 16GB 512GB NVMe SSD Win 11 Home, C11M-068US",,,,,
16,Hasee T8,16,16,1024,NVIDIA GeForce RTX 3060,Hasee,Windows11Home,Intel Core i9 12th Gen,Black,2560x1600(2.5K),T8,"Hasee T8 (16'', i9-12900H, RTX3060), Gaming Laptop, i9-12900H 5.0GHz, 16G DDR4 RAM, 1T NVMe PCIe4.0 SSD, RTX3060 6G GDDR6, 16'' 2.5K 165Hz IPS Display, RGB KB, WiFi 6, BT 5.2, Win 11, Obsidian Black",,,,,
17,"2023 Newest ASUS ROG Strix G16 16"" WUXGA 165Hz Gaming Laptop",16,32,2048,NVIDIA GeForce RTX 4060,,Windows11Home,Intel Core i7 13th Gen,Gray,1920x1200,,"2023 Newest ASUS ROG Strix G16 16"" WUXGA 165Hz Gaming Laptop, Intel Core i7-13650HX(Beats i9-12900HX), NVIDIA GeForce RTX 4060, 32GB DDR5, 2TB PCIe SSD, RGB KB 2 TB PCIe 32GB",,,,,
18,"Acer Laptop Aspire 3 AMD Ryzen 3 3000 Series 3250U (2.60GHz) 8GB Memory 128 GB NVMe SSD AMD Radeon Graphics 14.0"" Windows 11 in S mode A314-22-R07G",14,8,128,AMD Radeon Graphics,Acer,Windows11inSmode,AMD Ryzen 3 3000 Series,Pure Silver,1366x768,Aspire 3,"Acer Laptop Aspire 3 AMD Ryzen 3 3000 Series 3250U (2.60GHz) 8GB Memory 128 GB NVMe SSD AMD Radeon Graphics 14.0"" Windows 11 in S mode A314-22-R07G",,,,,
19,Notebook Lenovo Slim 7 Laptop,16,32,,,Lenovo Slim,Windows11Home,Intel Core i7,,,,"Notebook Lenovo Slim 7 Laptop, 20T, ARC A370M 4GB G6, 32GB, GB, Win 11 Home, English",,,,,
20,"ASUS ZenBook Pro 15 OLED Laptop 15.6"" FHD Touch Display",15.6,16,1024,NVIDIA GeForce RTX 3050 Ti,ASUS,Windows11Pro,AMD Ryzen 9 5000 Series,Pine Gray,1920x1080,ZenBook Pro,"ASUS ZenBook Pro 15 OLED Laptop 15.6"" FHD Touch Display, AMD Ryzen 9 5900HX CPU, NVIDIA GeForce RTX 3050 Ti GPU, 16GB RAM, 1TB PCIe SSD, Windows 11 Pro, Pine Grey, UM535QE-XH91T",,,,,
21,"Acer Swift 3 14"" FHD Touch Laptop",14,16,512,Intel Iris Xe Graphics,Acer,Windows11Home,Intel Core i5 12th Gen,Pure Silver,1920x1080,Swift 3,"Acer Swift 3 14"" FHD Touch Laptop, Intel i5-1240P, 16GB RAM, 512GB SSD, Win 11 Home SF314-512T-56CT",,,,,
22,Lenovo ThinkPad T14 Gen 2 Laptop,14,16,256,Intel UHD Graphics,Lenovo,Windows10Pro,Intel Core i5,,,,"Lenovo ThinkPad T14 Gen 2 Laptop, 14"""" FHD IPS Touch 14.0"" FHD (1920x1080) IPS Anti-glare - 300 nits touch w/720p Cameras, i5-1145G7,   UHD Graphics, 16GB, 256GB SSD, Win 10 Professional - English",,,,,
23,"Lenovo IdeaPad 15.6"" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 7 5825U Octa-core (8 Core) 2 GHz - 8 GB RAM 512 GB SSD Win11H - Abyss Blue 82SG0004US",15.6,8,512,Integrated Graphics,Lenovo,Windows11Home,AMD Ryzen 7 5000 Series,Blue,1920x1080,IdeaPad,"Lenovo IdeaPad 15.6"" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 7 5825U Octa-core (8 Core) 2 GHz - 8 GB RAM 512 GB SSD Win11H - Abyss Blue 82SG0004US",,,,,
24,Lenovo IdeaPad 1 Laptop,15.6,4,128,,Lenovo,,AMD Athlon Gold,Gray,1920x1080,,"Lenovo IdeaPad 1 Laptop, 15.6"" FHD  50Hz-60Hz, Athlon Gold 7220U, AMD Radeon, 4GB, 128GB, Win 11 Home",,,,,
