ID,Name,Display Size,RAM (GB),Storage,GPU,Brand,Operating System,CPU,Color,Screen Resolution,Series
600,Lenovo IdeaPad Gaming 3 ,?15.6,?32,?1024,?NVIDIA GeForce RTX 4050,?Lenovo,?Windows11Home,?AMD,?Gray,?1920x1080,?IdeaPad Gaming 3 15ARH7
601,CHUWI HeroBook Pro 14.1'' ,?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
602,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
603,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
604,Lenovo IdeaPad Lightweight ,?14,?12,?256,?Intel UHD Graphics,?Lenovo,?Windows11Home,?Intel,?Platinum Grey,?1920x1080,"?2023 Newest Lenovo 14"" FHD Laptop"
605,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
606,BiTECOOL 14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
607,Lenovo 15.6'' IdeaPad ,?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
608,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
609,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
610,Lenovo IdeaPad Lightweight ,?14,?12,?256,?Intel UHD Graphics,?Lenovo,?Windows11Home,?Intel,?Platinum Grey,?1920x1080,"?2023 Newest Lenovo 14"" FHD Laptop"
611,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
612,Lenovo IdeaPad Gaming 3 ,?15.6,?32,?1024,?NVIDIA GeForce RTX 4050,?Lenovo,?Windows11Home,?AMD,?Gray,?1920x1080,?IdeaPad Gaming 3 15ARH7
613,14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
614,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
615,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
616,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
617,"14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
618,"14"" Laptop 6GB RAM 64GB Storage Support 1TB SSD Expansion Traditional Laptops Windows 10 2.4G+5G WiFi Bluetooth 4.2 USB HDMI 1920x1080 FHD WOZIFAN with Wireless Mouse for Work Study - Gray",?14,?6,?64,?Intel N4020,?Ruzava,?Windows10,?Intel,?W5-Gray,?1920x1080,
619,"CHUWI HeroBook Pro 14.1'' Laptop, 8GB RAM 256GB SSD, Windows 11 Laptop, 1TB SSD Expand, Intel Celeron N4020(up to 2.8GHz), 2K FHD IPS Display, Ultra Slim, Mini-HDMI, 5G WiFi, USB3.0, Webcam,TF Card",?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
620,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
621,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
622,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
623,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
624,Lenovo IdeaPad Gaming 3 ,?15.6,?32,?1024,?NVIDIA GeForce RTX 4050,?Lenovo,?Windows11Home,?AMD,?Gray,?1920x1080,?IdeaPad Gaming 3 15ARH7
625,BiTECOOL 14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
626,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
627,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
628,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
629,"Lenovo 15.6"" IdeaPad 1 Laptop, 1TB SSD Storage, 20GB Memory, AMD Athlon Silver Processor, 15.6"" HD Display, Wi-Fi 6 & Bluetooth 5.1, SD Card Reader, HDMI, Windows 11 Home, 1 Year Microsoft 365",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
630,"14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
631,"Lenovo 15.6'' IdeaPad Laptop (Latest Model), AMD Athlon Dual Core Processor, 640GB SSD (128GB eMMC+512GB PCIe SSD), Webcam, HDMI, WiFi 6, USB Type-C, Long Battery Life, NLY MP, Windows 11, Grey",?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
632,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
633,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
634,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
635,"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
636,"CHUWI HeroBook Pro 14.1'' Laptop, 8GB RAM 256GB SSD, Windows 11 Laptop, 1TB SSD Expand, Intel Celeron N4020(up to 2.8GHz), 2K FHD IPS Display, Ultra Slim, Mini-HDMI, 5G WiFi, USB3.0, Webcam,TF Card",?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
637,"Bmax Y11Plus 2 in 1 Laptop, Touchscreen, Quad Core N5100(up to 2.8GHz), 8GB LPDDR4, 256GB SATA SSD 11.6"" FHD (1920 x 1080) Display, 360 Degree Convertible, Type-C, Windows 10, HDMI, All-Metal Body",?11.6,?,?256,?Intel Celeron N5100,?Bmax,?Windows10,?Intel,?Y11 Plus,?1920x1080,?Y11 Plus
638,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
639,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
640,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
641,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
642,BiTECOOL 14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
643,Lenovo 15.6'' IdeaPad ,?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
644,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
645,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
646,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
647,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
648,Lenovo IdeaPad Gaming 3 ,?15.6,?32,?1024,?NVIDIA GeForce RTX 4050,?Lenovo,?Windows11Home,?AMD,?Gray,?1920x1080,?IdeaPad Gaming 3 15ARH7
649,14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
650,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
651,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
652,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
653,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
654,Lenovo IdeaPad Gaming 3 ,?15.6,?32,?1024,?NVIDIA GeForce RTX 4050,?Lenovo,?Windows11Home,?AMD,?Gray,?1920x1080,?IdeaPad Gaming 3 15ARH7
655,BiTECOOL 14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
656,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
657,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
658,Lenovo 15.6'' IdeaPad ,?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
659,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
660,14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
661,CHUWI HeroBook Pro 14.1'' ,?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
662,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
663,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
664,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
665,"Lenovo 15.6"" IdeaPad 1 Laptop, 1TB SSD Storage, 20GB Memory, AMD Athlon Silver Processor, 15.6"" HD Display, Wi-Fi 6 & Bluetooth 5.1, SD Card Reader, HDMI, Windows 11 Home, 1 Year Microsoft 365",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
666,"14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
667,"Lenovo 15.6'' IdeaPad Laptop (Latest Model), AMD Athlon Dual Core Processor, 640GB SSD (128GB eMMC+512GB PCIe SSD), Webcam, HDMI, WiFi 6, USB Type-C, Long Battery Life, NLY MP, Windows 11, Grey",?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
668,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
669,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
670,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
671,"14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
672,"CHUWI HeroBook Pro 14.1'' Laptop, 8GB RAM 256GB SSD, Windows 11 Laptop, 1TB SSD Expand, Intel Celeron N4020(up to 2.8GHz), 2K FHD IPS Display, Ultra Slim, Mini-HDMI, 5G WiFi, USB3.0, Webcam,TF Card",?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
673,"Bmax Y11Plus 2 in 1 Laptop, Touchscreen, Quad Core N5100(up to 2.8GHz), 8GB LPDDR4, 256GB SATA SSD 11.6"" FHD (1920 x 1080) Display, 360 Degree Convertible, Type-C, Windows 10, HDMI, All-Metal Body",?11.6,?,?256,?Intel Celeron N5100,?Bmax,?Windows10,?Intel,?Y11 Plus,?1920x1080,?Y11 Plus
674,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
675,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
676,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
677,"Lenovo 15.6"" IdeaPad 1 Laptop, 1TB SSD Storage, 20GB Memory, AMD Athlon Silver Processor, 15.6"" HD Display, Wi-Fi 6 & Bluetooth 5.1, SD Card Reader, HDMI, Windows 11 Home, 1 Year Microsoft 365",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
678,"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
679,"Lenovo 15.6'' IdeaPad Laptop (Latest Model), AMD Athlon Dual Core Processor, 640GB SSD (128GB eMMC+512GB PCIe SSD), Webcam, HDMI, WiFi 6, USB Type-C, Long Battery Life, NLY MP, Windows 11, Grey",?15.6,?8,?512,?AMD Radeon Graphics,?Lenovo,?Windows11S,?AMD,?Grey,??1366x768,?Lenovo IdeaPad Laptop
680,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
681,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
682,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
683,"Lenovo 15.6"" IdeaPad 1 ",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
684,BiTECOOL 14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
685,CHUWI HeroBook Pro 14.1'' ,?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
686,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
687,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
688,Tulasi ,?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
689,BiTECOOL 14-inch Windows 11 ,?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
690,CHUWI HeroBook Pro 14.1'' ,?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
691,Bmax Y11Plus 2 in 1 ,?11.6,?,?256,?Intel Celeron N5100,?Bmax,?Windows10,?Intel,?Y11 Plus,?1920x1080,?Y11 Plus
692,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
693,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
694,"Tulasi Laptop, Windows 11 Laptop Computer, 12GB RAM 256GB SSD Intel Celeron N4120 Quad-Core, 14 inch 1080P IPS Display Ultra Slim Laptop, 2.4G/5G WiFi, Bluetooth 4.2, Webcam, Long Battery Life",?14,?,?256,?Intel UHD Graphics,?Tulasi,?Windows11Pro,?Intel,?Silver,?1920x1080,
695,"14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",?14,?12,?256,?Intel UHD Graphics,?BiTECOOL,?Windows11Pro,?Intel,?Gray,?1920x1080,?HaloBook
696,"CHUWI HeroBook Pro 14.1'' Laptop, 8GB RAM 256GB SSD, Windows 11 Laptop, 1TB SSD Expand, Intel Celeron N4020(up to 2.8GHz), 2K FHD IPS Display, Ultra Slim, Mini-HDMI, 5G WiFi, USB3.0, Webcam,TF Card",?14.1,?6,?256,?Intel UHD Graphics 600,?CHUWI,?Windows11,?Intel,?Space Gray,?1920x1080,?HeroBook Pro Laptop
697,"Bmax Y11Plus 2 in 1 Laptop, Touchscreen, Quad Core N5100(up to 2.8GHz), 8GB LPDDR4, 256GB SATA SSD 11.6"" FHD (1920 x 1080) Display, 360 Degree Convertible, Type-C, Windows 10, HDMI, All-Metal Body",?11.6,?,?256,?Intel Celeron N5100,?Bmax,?Windows10,?Intel,?Y11 Plus,?1920x1080,?Y11 Plus
698,"Dell Inspiron 16 5635 Laptop - AMD Ryzen 7-7730U, QHD 16 inch, 16GB LPDDR4x RAM, 1TB SSD, AMD Radeon Graphics, Windows 11 Home, 1 Year Premium Support - Platinum Silver",?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
699,"Dell Inspiron 15 3530 Laptop - Intel Core i5-1335U, 15.6-inch FHD 120Hz Display, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home, Services Included - Platinum Silver",?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
700,SideTrak Solo Pro Triple Touchscreen Portable Monitor for Laptop | 2 Freestanding 15.6” FHD 1080P LED Screens | Compatible with PC & Chrome | USB-C or HDMI | Speakers & HDR Mode,,,,,,,,,,
701,"jumper 16 Inch Laptop, 16GB RAM 512GB SSD, Quad-Core Intel Celeron N5095, FHD IPS 1920x1200 Screen, Windows 11 Laptops Computer with Four Stereo Speakers, Cooling System, 38WH Battery, Numeric Keypad.",?16,?16,?512,?Intel UHD Graphics,?Jumper,?Windows11Home,?Intel,,?1920x1200,?EZbook S5 MAX
702,"Dell Inspiron 7630 Laptop - Intel Core i7-13700H, 16-inch 16:10 2.5K Display, 16GB LPDDR5 RAM, 512GB SSD, NVIDIA GeForce RTX 3050 6GB GDDR6, Services Included, Windows 11 Pro - Silver",?16,?32,?,?NVIDIA GeForce RTX 3050,?Dell,?Windows11Pro,?Intel,?Silver,?2560x1600,?Dell Inspiron 16 7630 Laptop
703,"Lenovo 15.6"" IdeaPad 1 Laptop, 1TB SSD Storage, 20GB Memory, AMD Athlon Silver Processor, 15.6"" HD Display, Wi-Fi 6 & Bluetooth 5.1, SD Card Reader, HDMI, Windows 11 Home, 1 Year Microsoft 365",?15.6,?20,?1024,?AMD Radeon Graphics,?Lenovo,?Windows11,?AMD,?Cloud Grey,?1366x768,?IdeaPad
704,Dell Inspiron 16 5635 ,?16,?16,?1024,?AMD Radeon Graphics,?Dell,?Windows11,?AMD,?Silver,?2560x1600,?Dell Inspiron 16 5635 laptop
705,Dell Inspiron 15 3530 ,?15.6,?16,?512,?Intel Iris Xe Graphics,?Dell,?Windows11Home,?Intel,?Silver,?1920x1080,?Dell Inspiron 15 3530 Laptop
706,SGIN ,?15.6,?24,?512,?Integrated,?SGIN,,?Intel,?Gray,,
