ID,Name,Price ($),Rating,Number of Ratings,Product Info
1537,"ASUS Laptop L410 Ultra Thin Laptop, 14"" FHD Display, Intel Celeron N4020 Processor, 4 GB RAM, 64 GB Storage, NumberPad, Windows 10 Home in S Mode, Star Black, L410MA-DB02",280.59,rated 4.5 out of 5,52,Type: Home / PersonalResolution: 1920 x 1080Weight: 2.87 lbs.Graphics Card: Intel UHD Graphics 600Model #: L410MA-DB02Return Policy: View Return Policy
1538,"ASUS ROG Strix G17 (2023) Gaming Laptop, 17.3 QHD 240Hz, GeForce RTX 4070, AMD Ryzen 9 7945HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11","2,999.00",,,Model #: ROG Strix G17Item #: 9SIBDCAJMB0074Return Policy: View Return Policy
1539,"Lenovo - Yoga 7i 16"" WUXGA 2 in 1 Touch-Screen Laptop - Intel Core i5-1335U - 8GB Memory - 512GB SSD - Storm Grey
Tablet Notebook",709,,,Type: Everyday ValueModel #: 82YN0001USReturn Policy: View Return Policy
1540,"Lenovo X1 Yoga Gen 6 (ThinkPad), 2 in 1, Laptop, 14"" WQUXGA 4K, Touchscreen, Core i7 11th Gen., Iris Xe, 16GB, 512GB PCIe, Cam, Backlit KBD, Fingerprint, Windows 10 Pro, 2-Yr Lenovo WTY- 20Y0S3QU00",,,,
1541,"Lenovo Thinkpad 13 FHD (1920x1080) 13.3"" IPS Grade A Business Laptop, Intel 7th Gen Celeron 3865U Professor, 1.8GHz Base Frequency, 16GB DDR4 RAM, 256GB SSD, Wi-Fi, Bluetooth, Windows 10 Pro 64-bit",,,,
1542,"HP EliteBook 830 G6 13.3"" FHD Grade A Business Laptop, Intel Core i7-8665U Processor, 1.9GHz Base Frequency, 8GB DDR4 RAM, 512GB Solid State Drive, Wi-Fi, Bluetooth, Camera, Windows 10 Pro 64 bit",,,,
1543,"Lenovo ThinkPad X1 Extreme Gen 3 15.6"" FHD (Intel 6-Core i7-10750H, 64GB RAM, 2TB PCIe SSD, GTX 1650 Ti) Mobile Workstation Laptop, 2 x Thunderbolt 3, Backlit, Fingerprint, Windows 10 Pro","2,049.99",,2,
1544,"Lenovo Thinkpad T480s 14"" Full HD 1920 x 1080 Ultrabook- 8th Gen Intel QUAD Core i5-8350U 1.7GHz  16 GB RAM DDR4 512 GB SSD,Wi-Fi, Bluetooth, Webcam Windows 10 Pro",269.9,,,
1545,"Lenovo ThinkPad L380 Yoga 2-in-1 Laptop, 13.3"" FHD Touchscreen, Intel Core i5-8250U, 16GB RAM, 512GB SSD, Fingerprint Reader, Backlit Keyboard, for Education, Gaming, Business, Windows10 Pro 64 bit",279.9,,,
1546,"Refurbished Razer Blade 16 RZ09 Gaming Laptop Intel Core i9-13950H 2.20GHz, RAM 16 GB, 1 TB SSD, GPU: NVIDIA GeForce RTX 4070 Laptop GPU","2,399.00",,,Color: BlackModel #: SDFDSFSDFFItem #: 9SIAZ2GK124131Return Policy: View Return Policy
1547,"Newest Dell Latitude 3520, 15.6"" FHD IPS Display Business Laptop, Intel Core i7-1165G7, 32GB RAM, 1TB PCIe SSD, Webcam, WiFi 6, USB-C, HDMI, Windows 11 Pro","1,223.00",,,Type: Work / BusinessResolution: 1920 x 1080Display Type: FHDColor: BlackModel #: LATITUDE7527-J_CTO_N1Return Policy: View Return Policy
1548,"HP 17 Business Laptop, 17.3"" FHD Display, Intel Core i5-1135G7 Upto 4.2GHz, 20GB RAM, 512GB NVMe SSD, HDMI, Wi-Fi, Bluetooth, Backlit Keyboard Windows 11 Home/Lone Star Computer Mouse Pad",799.79,,,Color: SilverDisplay Type: Full HDResolution: 1920 x 1080Touchpad: YesModel #: HP4061nrb39Item #: 9SIAKKBJCM6334Return Policy: View Return Policy
1549,"Microsoft Surface Pro 7+ Intel Core i5 11th Gen 1135G7 (2.40GHz) 8 GB LPDDR4X Memory 256 GB SSD Intel Iris Xe Graphics 12.3"" Touchscreen 2736 x 1824 Detachable 2-in-1 Laptop Windows 10 Pro 64-bit 1NA-",899,rated 5 out of 5,2,Battery Life: Up to 15 hours of typical device usageGraphics Card: Intel Iris Xe GraphicsWeight: 1.70 lbs.Color: PlatinumModel #: 1NA-00001Return Policy: View Return Policy
1550,"Dell - Inspiron 15.6"" Touch Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Carbon Black i3520-5244BLK-PUS Notebook",524.99,,,Type: Everyday ValueModel #: i3520-5244BLK-PUSItem #: 9SIA8X5JXU0012Return Policy: View Return Policy
1551,"Asus TUF F15 15.6"" 144Hz FHD Gaming Laptop | Intel Core i7-10870H | NVIDIA GeForce GTX 1660 Ti | 32GB DDR4 | 1TBSSD +1TBHDD | Backlit Keyboard | Windows 10 | Gray","$1,699.99 ",rated 4 out of 5,1,Resolution: 1920 x 1080Color: GrayCPU: Intel Core i7-10870H up to 5.00 GHzScreen: 15.6Model #: F15/32G/1T+1TSSDItem #: 9SIAEYJE7U9019Return Policy: View Return Policy
1552,"Used - Like New ASUS ZenBook Pro Duo 15 OLED UX582 Laptop, 15.6"" OLED 4K UHD Touch Display, Intel Core i9-11900H, 32GB, 1TB, GeForce RTX 3080 Laptop GPU, ScreenPad Plus, Windows 11 Pro, Celestial Blue, UX582HS-XH99T","2,699.99",rated 4.1 out of 5,15,Type: Content CreationResolution: 3840 x 2160Weight: 5.16 lbs.Graphics Card: NVIDIA GeForce RTX 3080 Laptop GPUModel #: UX582HS-XH99TItem #: 9SIAC3JJHY8791Return Policy: View Return Policy
1553,"Dell XPS 13 Plus 13.4"" OLED Touch Laptop - 13th Gen Intel Evo i7 - 32GB Memory - Intel Iris Xe Graphics - 1TB SSD - Graphite Notebook XPS9320-7688BLK-PUS","2,399.99",,,Type: Everyday ValueModel #: XPS9320-7688BLK-PUSItem #: 9SIA8X5JXU0352Return Policy: View Return Policy
1554,"Refurbished Dell Latitude E5570, Laptop, Intel Core i5-6200U @ 2.30GHz, 15.6"" HD, 8GB, 500GB SATA SSD, Backlit Keyboard, Webcam, Windows 10 Pro",189,,,Type: Everyday ValueWeight: 4.60 lbGraphics Card: Intel HD Graphics 520LCD Features: Anti-GlareModel #: E5570-I5-8-500Item #: 9SIBBPDJRA7985Return Policy: View Return Policy
1555,"Dell - XPS 15 15.6"" 3.5K OLED Touch-Screen Laptop - 13th Gen Intel Evo i9 - 32GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD - Platinum Silver Notebook PC XPS9530-9565SLV-PUS","2,999.00",,,Type: Everyday ValueModel #: XPS9530-9565SLV-PUSItem #: 9SIA8X5JXU0354Return Policy: View Return Policy
1556,"Dell XPS 17 17.0"" UHD+ Touch Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce RTX 4070 - 1TB SSD - Platinum Silver Notebook PC XPS9730-7695SLV-PUS","3,499.99",,,Type: Everyday ValueModel #: XPS9730-7695SLV-PUSItem #: 9SIA8X5JXU0300Return Policy: View Return Policy
1557,"ASUS Zenbook 14"" 2.8K (2880 x 1800) Business Laptop, 90Hz OLED 400 nits Display, 8GB LPDDR5 RAM|1TB SSD, 12th Gen Intel Evo i5-1240P, ErgoSense Backlit KB, Fingerprint, Harman Kardon, Win11 H 1 TB",699.99,,,Type: Work / BusinessResolution: 2880 x 1800Weight: 3.06 lbsMemory Speed: DDR5 4800Model #: 003719-8-1024Item #: 9SIAJZDJUR3740Return Policy: View Return Policy
1558,"HP Pavilion 15t-eg200 Home & Business Laptop (Intel i7-1255U 10-Core, 15.6"" 60Hz Touch Full HD (1920x1080), Intel Iris Xe, 32GB RAM, 512GB PCIe SSD, Backlit KB, Wifi, USB 3.2, HDMI, Win 11 Pro)",979.99,,,Type: Work / BusinessResolution: 1920 x 1080Memory Speed: DDR4WLAN: WIFI 6 MT7921Model #: ME-140691225947Return Policy: View Return Policy
1559,"HP - 14-EP0010NR 14"" Laptop HD - Intel Processor N200 With 4GB Memory 512GB SSD - Natural Silver Notebook PC",479,,,Type: Everyday ValueModel #: 14-EP0010NRItem #: 9SIA8X5JXT9377Return Policy: View Return Policy
1560,"ASUS VivoBook 15 Laptop, 11th Gen Intel Core i3-1115G4 2-Cores Processor, Intel Iris Xe Graphics, 20GB DDR4  512GB PCIe SSD, 15.6'' Full HD Display, WiFi, USB, Bluetooth, HDMI, Webcam, Windows 11",499,rated 4.4 out of 5,111,Type: Home / PersonalResolution: 1920 x 1080Weight: 5 - 5.9 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: VivoBook15i3pu-019Item #: 9SIBMCUJVY2732Return Policy: View Return Policy
1561,"ASUS VivoBook 15 Laptop, 11th Gen Intel Core i3-1115G4 2-Cores Processor, Intel Iris Xe Graphics, 36GB DDR4  2TB PCIe SSD, 15.6'' Full HD Display, WiFi, USB, Bluetooth, HDMI, Webcam, Windows 11 Pro",619,rated 4.4 out of 5,111,Type: Home / PersonalResolution: 1920 x 1080Weight: 5 - 5.9 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: VivoBook15i3pu-031Item #: 9SIBMCUJVY2738Return Policy: View Return Policy
1562,"New Dell Inspiron 15.6"" WVA Full HD Touchscreen Laptop Intel core i7-1165G7 32GB RAM 1TB SSD 1TB HDD Windows 11 Home Black","1,162.00",,,Type: Work / BusinessResolution: 1920 x 1080Color: BlackModel #: B2C_i3511-7125BLK_32_1SD+1_HomeReturn Policy: View Return Policy
1563,"HP - 15.6"" Laptop - AMD Ryzen 3 - 8GB Memory - 256GB SSD - Natural Silver 15-ef2033dx Notebook PC",625,,,Type: Everyday ValueModel #: 15-ef2033dxItem #: 9SIA8X5JXT8317Return Policy: View Return Policy
1564,"ASUS - 14"" Chromebook - AMD Ryzen 3 7320C - 8GB Memory - 128GB SSD - Ponder Blue CM3401-R3128BL Laptop Notebook PC",659,,,Type: Everyday ValueModel #: CM3401-R3128BLItem #: 9SIA8X5JXT8780Return Policy: View Return Policy
1565,"2023 ASUS ROG Zephyrus 14 WQXGA 120Hz Gaming Laptop, AMD Ryzen 9 6900HS, 24GB DDR5 Memory 1TB PCIe 4.0 SSD, AMD Radeon RX 6700S 8GB GDDR6 Graphics, Backlit KYB, WiFi 6E, BT 5.2, Win 11 Home 1 TB 24GB","$1,377.79 ",,,Type: GamingResolution: 2560 x 1600Weight: 3.64 lbsMemory Speed: DDR5 4800Model #: 003711-24-1024Return Policy: View Return Policy
1566,"HP - ENVY 17.3"" Full HD Touch-Screen Laptop - Intel Core i7-13700H - 12GB Memory - 1TB SSD - Mineral silver Notebook PC NV17-CR1010NR","1,419.99",,,Type: Everyday ValueModel #: NV17-CR1010NRItem #: 9SIA8X5JXT9351Return Policy: View Return Policy
1567,"MSI Ultra Thin and Light Laptop Intel Core i7 13th Gen 1355U (1.70GHz) 16GB Memory 1 TB NVMe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit Modern 14 C13M-621US",$899.00 ,rated 4 out of 5,1,Type: Work / BusinessResolution: 1920 x 1080Weight: 3.09 lbs.Graphics Card: Intel Iris Xe GraphicsModel #: Modern 14 C13M-621USItem #: N82E16834156501Return Policy: Standard Return Policy
1568,"Samsung - Galaxy Book3 Pro 16"" 3K AMOLED Laptop - Intel 13th Gen Evo Core i7-1360P -16GB Memory - 512GB SSD - Beige NP960XFG-KA2US Notebook","1,199.00",,,Type: Content CreationModel #: NP960XFG-KA2USItem #: 9SIBMG1K0D8532Return Policy: View Return Policy
1569,HP Laptop 17-cp2020nr,590.99,,,Type: Home / PersonalModel #: 945827836978Return Policy: View Return Policy
